Species,Cultivar,Usage,Location,Method,CH,CU,CP,GDH,Reference
Apple,Perico,Cider,Spain,E,891,1273,82.5,11375,"Delgado et al., 2021a"
Apple,Perico,Cider,Spain,S,1005,1495,72.7,10156,"Delgado et al., 2021b"
Apple,Pink Lady,Dessert,Spain,S,,,37.8,8065,"Díez-Palet et al., 2019"
Apple,Prima,Dessert,USA,E,1072,,,,"Hauagge and Cummins, 1991"
Apple,Priscilla,Dessert,USA,E,1057,,,,"Hauagge and Cummins, 1991"
Apple,Raxao,Cider,Spain,S,1005,1495,72.7,11111,"Delgado et al., 2021b"
Apple,Red Chief,Dessert,Spain,S,,,66.4,9076,"Funes et al., 2016"
Apple,Red Chief,Dessert,Spain,S,,,40.2,7767,"Díez-Palet et al., 2019"
Apple,Red Chief,Dessert,Uruguay,E,668,406,,,
Apple,Red Crimson Beauty,Dessert,USA,E,962,,,,"Hauagge and Cummins, 1991"
Apple,Red Falls,Dessert,USA,E,1185,,,,"Hauagge and Cummins, 1991"
Apple,Redford,Unknown,USA,E,1054,,,,
Apple,Redfree,Dessert,USA,E,1148,,,,"Hauagge and Cummins, 1991"
Apple,Regona,Cider,Spain,E,982,1351,90.2,6512,"Delgado et al., 2021a"
Apple,Rome Beauty,Dessert,USA,E,1163,,,,"Hauagge and Cummins, 1991"
Apple,Rosedale,Crab,USA,E,790,,,,"Hauagge and Cummins, 1991"
Apple,Royal Gala,Dessert,Uruguay,E,667,456,,,
Apple,RS103-110,Dessert,Australia,E,838,1186,70.8,,"Parkes et al., 2020"
Apple,Rubinola,Dessert,Italy,E,898,,47,,"Finetto, 2013"
Apple,Solarina,Cider,Spain,E,921,1311,85.2,7897,"Delgado et al., 2021a"
Apple,Spartan,Dessert,USA,E,1117,,,,"Hauagge and Cummins, 1991"
Apple,Starking Delicious,Dessert,United States,S,1234,,,6993,"Ashcroft et al., 1977"
Apple,Starking Delicious,Dessert,India,S,1208,,,8893,"Mankotia et al., 2004"
Apple,Summerred,Dessert,USA,E,999,,,,"Hauagge and Cummins, 1991"
Apple,Tasty,Unknown,USA,E,1020,,,,
Apple,Teorica,Cider,Spain,S,833,1266,61.7,8646,"Delgado et al., 2021b"
Apple,Toba,Unknown,USA,E,1194,,,,
Apple,Topaz,Dessert,Italy,E,1006,,52,,"Finetto, 2013"
Apple,Transcendent,Crab,USA,E,893,,,,"Hauagge and Cummins, 1991"
Apple,Verdialona,Cider,Spain,S,789,1213,59.4,11917,"Delgado et al., 2021b"
Apple,Vienna,Unknown,USA,E,915,,,,
Apple,Viking,Dessert,USA,E,1082,,,,"Hauagge and Cummins, 1991"
Apple,Vista Bella,Dessert,USA,E,968,,,,"Hauagge and Cummins, 1991"
Apple,Wealthy,Dessert,USA,E,1169,,,,"Hauagge and Cummins, 1991"
Apple,Wellington,Dessert,USA,E,965,,,,"Hauagge and Cummins, 1991"
Apple,Winter Banana,Dessert,USA,E,1088,,,,"Hauagge and Cummins, 1991"
Apple,Wolf River,Dessert,USA,E,1217,,,,"Hauagge and Cummins, 1991"
Apple,Xuanina,Cider,Spain,E,855,1239,79.9,9690,"Delgado et al., 2021a"
Apple,Xuanina,Cider,Spain,S,836,1278,62.6,9570,"Delgado et al., 2021b"
Sweet Cherry,Schneiders,,Germany,S,1375,1410,68.6,3473,Luedeling et al. 2013
Sweet Cherry,Cristobalina,,Spain,E,176,397,30.4,9195,Albuquerque et al. 2008
Sweet Cherry,Brooks,,Spain,E,411.5,556,36.7,7836.2,Albuquerque et al. 2009
Sweet Cherry,Ruby,,Spain,E,618,806,48,7362,Albuquerque et al. 2010
Sweet Cherry,Somerset,,Spain,E,618,806,48,8625.2,Albuquerque et al. 2011
Sweet Cherry,Burlat,,Spain,E,618,806,48,8750.2,Albuquerque et al. 2012
Sweet Cherry,New Star,,Spain,E,709.5,909.3,63.5,8257,Albuquerque et al. 2013
Sweet Cherry,Marvin,,Spain,E,788,1001,57.6,9449.7,Albuquerque et al. 2014
Sweet Cherry,Cristobalina,,Spain,S,395,570,26.1,5473,"Fadón et al., 2023"
Sweet Cherry,Ramón Oliva,,Spain,S,672,949,46.5,6872,"Fadón et al., 2024"
Sweet Cherry,Pico Negro,,Spain,S,788,1086,53.6,7140,"Fadón et al., 2025"
Sweet Cherry,Ambrunes,,Spain,S,788,1086,53.6,7004,"Fadón et al., 2026"
Sweet Cherry,Pico Colorado,,Spain,S,672,949,46.5,7365,"Fadón et al., 2027"
Sweet Cherry,Taleguera Brillante,,Spain,S,881,1211,58.8,8030,"Fadón et al., 2028"
Sweet Cherry,Blanca de Provenza,,Spain,S,910,1250,60.2,6457,"Fadón et al., 2029"
Sweet Cherry,Ambrunés,,Spain,E,1050,,,,Tabuenca et al. 1984
Sweet Cherry,Bing,,Spain,E,1050,,,,Tabuenca et al. 1984
Sweet Cherry,Bing,,Spain,E,,1083,,,Fadón et al. 2018
Sweet Cherry,Brooks,,Spain,E,411.5,556,36.7,7863.2,Albuquerque et al. 2008
Sweet Cherry,Burlat,,Spain,E,950,,,,Tabuenca et al. 1984
Sweet Cherry,Burlat,,Spain,E,618,806,48,8750.2,Albuquerque et al. 2008
Sweet Cherry,Burlat,,Spain,E,,981,,,Fadón et al. 2018
Sweet Cherry,Burlat,,Spain,E,,,86,,Campoy et al. 2019
Sweet Cherry,Cherovina,,Spain,E,950,,,,Tabuenca et al. 1984
Sweet Cherry,Cristobalina,,Spain,E,800,,,,Tabuenca et al. 1984
Sweet Cherry,Cristobalina,,Spain,E,176,397,30.4,9195,Albuquerque et al. 2008
Sweet Cherry,Cristobalina,,Spain,E,,687,,,Fadón et al. 2018
Sweet Cherry,Cristobalina,,Spain,E,,,29,,Campoy et al. 2019
Sweet Cherry,Daiber,,Spain,E,1050,,,,Tabuenca et al. 1984
Sweet Cherry,Earlise,,Spain,E,,981,,,Fadón et al. 2018
Sweet Cherry,Early Rivers,,Spain,E,850,,,,Tabuenca et al. 1984
Sweet Cherry,Fertard,,Spain,E,,,101,,Campoy et al. 2019
Sweet Cherry,Garrafal de Lérida,,Spain,E,1100,,,,Tabuenca et al. 1984
Sweet Cherry,Guillaume,,Spain,E,1050,,,,Tabuenca et al. 1984
Sweet Cherry,Hedelfingen,,Spain,E,1100,,,,Tabuenca et al. 1984
Sweet Cherry,Jaboulay,,Spain,E,1050,,,,Tabuenca et al. 1984
Sweet Cherry,Jarandilla,,Spain,E,1100,,,,Tabuenca et al. 1984
